,oos_equity
2022-12-09,1031733.2914873818
2022-12-12,1031733.2914873818
2022-12-13,1031733.2914873818
2022-12-14,1031733.2914873818
2022-12-15,1031733.2914873818
2022-12-16,1031733.2914873818
2022-12-19,1031733.2914873818
2022-12-20,1031733.2914873818
2022-12-21,1031733.2914873818
2022-12-22,1031733.2914873818
2022-12-23,1031733.2914873818
2022-12-27,1031733.2914873818
2022-12-28,1031733.2914873818
2022-12-29,1031733.2914873818
2022-12-30,1031733.2914873818
2023-01-03,1031733.2914873818
2023-01-04,1031733.2914873818
2023-01-05,1031733.2914873818
2023-01-06,1031733.2914873818
2023-01-09,1031733.2914873818
2023-01-10,1031733.2914873818
2023-01-11,1031733.2914873818
2023-01-12,1031733.2914873818
2023-01-13,1031733.2914873818
2023-01-17,1031733.2914873818
2023-01-18,1031733.2914873818
2023-01-19,1031733.2914873818
2023-01-20,1031733.2914873818
2023-01-23,1031733.2914873818
2023-01-24,1031733.2914873818
2023-01-25,1031733.2914873818
2023-01-26,1031733.2914873818
2023-01-27,1031733.2914873818
2023-01-30,1031733.2914873818
2023-01-31,1031733.2914873818
2023-02-01,1031733.2914873818
2023-02-02,1031733.2914873818
2023-02-03,1031733.2914873818
2023-02-06,1031733.2914873818
2023-02-07,1031733.2914873818
2023-02-08,1031733.2914873818
2023-02-09,1031733.2914873818
2023-02-10,1031733.2914873818
2023-02-13,1031733.2914873818
2023-02-14,1031733.2914873818
2023-02-15,1031733.2914873818
2023-02-16,1031733.2914873818
2023-02-17,1031733.2914873818
2023-02-21,1031733.2914873818
2023-02-22,1031733.2914873818
2023-02-23,1031733.2914873818
2023-02-24,1031733.2914873818
2023-02-27,1031733.2914873818
2023-02-28,1031733.2914873818
2023-03-01,1031733.2914873818
2023-03-02,1031733.2914873818
2023-03-03,1031733.2914873818
2023-03-06,1031733.2914873818
2023-03-07,1031733.2914873818
2023-03-08,1031733.2914873818
2023-03-09,1031733.2914873818
2023-03-10,1031733.2914873818
2023-03-13,1031733.2914873818
2023-03-14,1031733.2914873818
2023-03-15,1031733.2914873818
2023-03-16,1031733.2914873818
2023-03-17,1031733.2914873818
2023-03-20,1031733.2914873818
2023-03-21,1031733.2914873818
2023-03-22,1031733.2914873818
2023-03-23,1031733.2914873818
2023-03-24,1031733.2914873818
2023-03-27,1031733.2914873818
2023-03-28,1031733.2914873818
2023-03-29,1031733.2914873818
2023-03-30,1031733.2914873818
2023-03-31,1031733.2914873818
2023-04-03,1031733.2914873818
2023-04-04,1031733.2914873818
2023-04-05,1031733.2914873818
2023-04-06,1031733.2914873818
2023-04-10,1031733.2914873818
2023-04-11,1031733.2914873818
2023-04-12,1031733.2914873818
2023-04-13,1031733.2914873818
2023-04-14,1031733.2914873818
2023-04-17,1031733.2914873818
2023-04-18,1031733.2914873818
2023-04-19,1031733.2914873818
2023-04-20,1031733.2914873818
2023-04-21,1031733.2914873818
2023-04-24,1031733.2914873818
2023-04-25,1031733.2914873818
2023-04-26,1031733.2914873818
2023-04-27,1031733.2914873818
2023-04-28,1031733.2914873818
2023-05-01,1031577.8283321555
2023-05-02,1032520.280843094
2023-05-03,1029294.4630664871
2023-05-04,1029294.4630664871
2023-05-05,1023452.2262925658
2023-05-08,1024465.3426562547
2023-05-09,1024465.3426562547
2023-05-10,1024465.3426562547
2023-05-11,1024465.3426562547
2023-05-12,1024465.3426562547
2023-05-15,1024465.3426562547
2023-05-16,1024431.4882803833
2023-05-17,1025559.1706894737
2023-05-18,1025559.1706894737
2023-05-19,1025559.1706894737
2023-05-22,1025559.1706894737
2023-05-23,1025559.1706894737
2023-05-24,1025559.1706894737
2023-05-25,1025559.1706894737
2023-05-26,1025559.1706894737
2023-05-30,1025559.1706894737
2023-05-31,1025559.1706894737
2023-06-01,1025559.1706894737
2023-06-02,1025559.1706894737
2023-06-05,1025559.1706894737
2023-06-06,1025559.1706894737
2023-06-07,1025559.1706894737
2023-06-08,1025559.1706894737
2023-06-09,1025559.1706894737
2023-06-12,1025559.1706894737
2023-06-13,1025559.1706894737
2023-06-14,1025559.1706894737
2023-06-15,1025559.1706894737
2023-06-16,1025559.1706894737
2023-06-20,1025559.1706894737
2023-06-21,1025559.1706894737
2023-06-22,1025559.1706894737
2023-06-23,1025559.1706894737
2023-06-26,1025559.1706894737
2023-06-27,1025559.1706894737
2023-06-28,1025559.1706894737
2023-06-29,1025559.1706894737
2023-06-30,1025559.1706894737
2023-07-03,1025559.1706894737
2023-07-05,1025559.1706894737
2023-07-06,1025559.1706894737
2023-07-07,1025559.1706894737
2023-07-10,1025559.1706894737
2023-07-11,1025559.1706894737
2023-07-12,1025559.1706894737
2023-07-13,1025559.1706894737
2023-07-14,1025559.1706894737
2023-07-17,1025559.1706894737
2023-07-18,1025559.1706894737
2023-07-19,1025559.1706894737
2023-07-20,1025559.1706894737
2023-07-21,1025559.1706894737
2023-07-24,1025559.1706894737
2023-07-25,1025559.1706894737
2023-07-26,1025559.1706894737
2023-07-27,1025559.1706894737
2023-07-28,1025559.1706894737
2023-07-31,1025559.1706894737
2023-08-01,1025559.1706894737
2023-08-02,1025559.1706894737
2023-08-03,1025559.1706894737
2023-08-04,1025559.1706894737
2023-08-07,1025559.1706894737
2023-08-08,1025559.1706894737
